parking_id,airport_id,type,pushback,name,number,suffix,airline_codes,radius,heading,has_jetway,lonx,laty
12443,12613,,,101,-1,,,,,0,77.09974167,28.55803889
12444,12613,,,100,-1,,,,,0,77.10101389,28.55770278
12445,12613,,,10,-1,,,,,0,77.11891667,28.56391667
12446,12613,,,122,-1,,,,,0,77.11311111,28.56386111
12447,12613,,,26,-1,,,,,0,77.11632778,28.56588333
12448,12613,,,27,-1,,,,,0,77.11626667,28.56625833
12449,12613,,,28,-1,,,,,0,77.11615556,28.567
12450,12613,,,B18,-1,,,,,0,77.08177778,28.55520278
12451,12613,,,A14R,-1,,,,,0,77.08150278,28.56240556
12452,12613,,,A14L,-1,,,,,0,77.08189722,28.56226111
12453,12613,,,A14,-1,,,,,0,77.08158056,28.56233056
12454,12613,,,A13,-1,,,,,0,77.08148333,28.56108333
12455,12613,,,A12R,-1,,,,,0,77.08193056,28.56176389
12456,12613,,,A12L,-1,,,,,0,77.08232222,28.56161944
12457,12613,,,A12,-1,,,,,0,77.08200556,28.56168889
12458,12613,,,A11R,-1,,,,,0,77.08200278,28.56033889
12459,12613,,,A11L,-1,,,,,0,77.08158889,28.56048889
12460,12613,,,A11,-1,,,,,0,77.08191389,28.56043611
12461,12613,,,B20,-1,,,,,0,77.08125278,28.55492778
12462,12613,,,A10R,-1,,,,,0,77.08235556,28.56112222
12463,12613,,,A10,-1,,,,,0,77.08243056,28.56104722
12464,12613,,,A09R,-1,,,,,0,77.08251111,28.559575
12465,12613,,,A09L,-1,,,,,0,77.08256389,28.55901944
12466,12613,,,A09,-1,,,,,0,77.08241944,28.55967222
12467,12613,,,A08R,-1,,,,,0,77.08278333,28.56047778
12468,12613,,,A08L,-1,,,,,0,77.083175,28.56033611
12469,12613,,,A08,-1,,,,,0,77.083175,28.56033611
12470,12613,,,A07R,-1,,,,,0,77.08283056,28.55804722
12471,12613,,,A07L,-1,,,,,0,77.08256389,28.55901944
12472,12613,,,A07,-1,,,,,0,77.08288889,28.55896667
12473,12613,,,A06,-1,,,,,0,77.08346389,28.56000556
12474,12613,,,A10L,-1,,,,,0,77.08274722,28.56097778
12475,12613,,,A03R,-1,,,,,0,77.08299444,28.55770278
12476,12613,,,B20L,-1,,,,,0,77.081175,28.55465
12477,12613,,,B22,-1,,,,,0,77.080525,28.55455278
12478,12613,,,C32R,-1,,,,,0,77.08156389,28.55181944
12479,12613,,,C32L,-1,,,,,0,77.081725,28.55216389
12480,12613,,,C32,-1,,,,,0,77.08164722,28.55188611
12481,12613,,,C31R,-1,,,,,0,77.08281944,28.5517
12482,12613,,,C30R,-1,,,,,0,77.08229167,28.55219444
12483,12613,,,C30L,-1,,,,,0,77.08245278,28.55254167
12484,12613,,,C30,-1,,,,,0,77.082375,28.55226111
